Α/Α,Ενότητα,Πεδίο (token),Περιγραφή,Τύπος,Υποχρ.,Προεπιλογή,Πηγή δεδομένων,Άρθρο,Κανόνας,Σχόλια / Έλεγχοι
1,Αντικείμενο,project.name,Ονομασία Έργου,Κείμενο,Ναι,,Αίτημα / Διακήρυξη,"Εξώφυλλο, Άρθρο 1",,Εμφανίζεται 3 φορές
2,Αντικείμενο,project.scope_summary,Περιγραφή αντικειμένου,Ελεύθερο κείμενο,Όχι,,Αίτημα,Άρθρο 1,,⚠ Ζώνη 4 — ανθρώπινος έλεγχος
3,Αντικείμενο,project.named_staff,Ορισμένο προσωπικό (χωρίς εναλλαγή),Ναι/Όχι,Όχι,Ναι,Τεχνική Προσφορά,Άρθρο 1,,
4,Αντικείμενο,project.work_location,Τόπος παροχής,Λίστα: Εγκαταστάσεις Τράπεζας / Εξ αποστάσεως / Υβριδικό,Ναι,Εγκαταστάσεις Τράπεζας,Αίτημα,Άρθρο 5,,Επηρεάζει τη διατύπωση υποχρεώσεων
5,Διάρκεια,term.start_date,Έναρξη,Ημερομηνία,Ναι,,Απόφαση ανάθεσης,Άρθρο 2,R-13,Στο δείγμα DESQUARED η έναρξη ήταν αναδρομική
6,Διάρκεια,term.end_date,Λήξη,Ημερομηνία,Όχι,,Διακήρυξη,Άρθρο 2,,Συνήθως: έως την ολοκλήρωση των Υπηρεσιών
7,Παραλαβή,acceptance.window_working_days,Προθεσμία παραλαβής (εργάσιμες),Ακέραιος,Όχι,30,Πολιτική,Άρθρο 3,,
8,Παραλαβή,acceptance.deliverables_format,Μορφή παραδοτέων,Κείμενο,Όχι,,Αίτημα,Άρθρο 3,,π.χ. PPT ή Excel
9,Οικονομικά,commercials.pricing_model,Μοντέλο τιμολόγησης,Λίστα: Σταθερό τίμημα / Χρέωση βάσει απασχόλησης με ανώτατο όριο,Ναι,Σταθερό τίμημα,Οικονομική Προσφορά,Άρθρο 4,R-10,⚠ Καθορίζει ΠΟΙΟ block εμφανίζεται
10,Οικονομικά,commercials.total_price,Συνολικό τίμημα / ανώτατο όριο,Ποσό,Ναι,,Οικονομική Προσφορά,Άρθρο 4,R-17,
11,Οικονομικά,commercials.payment_terms_days,Προθεσμία πληρωμής (ημέρες),Ακέραιος,Ναι,60,Πολιτική,Άρθρο 4,R-09,
12,Οικονομικά,commercials.milestones[],"Ορόσημα (α/α, περιγραφή, %, ποσό)",Λίστα,Υπό όρους,,Χρονοδιάγραμμα,Άρθρο 4 (πίνακας),R-10,Μόνο για Σταθερό τίμημα· άθροισμα % = 100
13,Οικονομικά,commercials.rates[],Ημερήσιες χρεώσεις ανά προφίλ,Λίστα,Υπό όρους,,Οικονομική Προσφορά,Άρθρο 4,R-10,Μόνο για χρέωση βάσει απασχόλησης
14,Εγγυήσεις,guarantee.required,Απαιτείται Εγγυητική Επιστολή,Ναι/Όχι,Ναι,Όχι,Πολιτική (Q-06),Άρθρο 6,R-06,⚠ Κατώφλι αξίας εκκρεμεί
15,Εγγυήσεις,guarantee.amount,Ποσό εγγυητικής,Ποσό,Υπό όρους,,ΠΑΡΑΓΩΓΟ,Άρθρο 6,R-06,
16,Εγγυήσεις,guarantee.validity_end,Λήξη ισχύος,Ημερομηνία,Υπό όρους,,ΠΑΡΑΓΩΓΟ,Άρθρο 6,R-06,
17,Υπεργολαβία,subcontracting.allowed,Επιτρέπεται υπεργολαβία,Ναι/Όχι,Όχι,Όχι,Διακήρυξη,Άρθρο 8,,Απαιτεί έγγραφη συγκατάθεση Τράπεζας
18,GDPR,data_protection.processes_personal_data,Επεξεργασία προσωπικών δεδομένων,Ναι/Όχι,Ναι,Όχι,DPIA,—,R-03,⛔ ΤΟ ΠΡΟΤΥΠΟ C ΔΕΝ ΕΧΕΙ ΑΡΘΡΟ GDPR. Αν Ναι → απαιτείται νομικός έλεγχος επιλογής προτύπου
19,Παραρτήματα,annexes[],Παραρτήματα,Λίστα,Ναι,Παράρτημα 1: Περιγραφή Υπηρεσιών,Χειροκίνητο,Άρθρο 17,R-16,Τυπικά μόνο ένα
