Α/Α,Module,Τίτλος άρθρου / ενότητας,Αναφαίρετο,Νομική / κανονιστική βάση,Σχόλια
1,M01,ΠΡΟΟΙΜΙΟ – ΣΥΜΒΑΛΛΟΜΕΝΟΙ,,ΑΚ 158 επ.,Ταυτοποίηση μερών & εξουσία εκπροσώπησης
2,M02,ΟΡΙΣΜΟΙ,,—,Μόνο η Κατηγορία A έχει αυτοτελές άρθρο ορισμών
3,M03,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,,—,
4,M03a,Ρήτρα SaaS / cloud στο αντικείμενο,,—,Κανόνας R-02
5,M04,ΔΙΑΡΚΕΙΑ,,—,Αν έναρξη < υπογραφή → «αναδρομικά» (R-13)
6,M05,ΧΡΟΝΟΔΙΑΓΡΑΜΜΑ,,—,
7,M06,ΠΑΡΑΛΑΒΗ (ΠΠΠ / ΠΤΠ),,—,Απαιτεί Παράρτημα Διαδικασίας Παραλαβής
8,M07,ΔΙΑΔΙΚΑΣΙΑ & ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ,,—,Παραλαβή 30 εργάσιμων ημερών
9,M08,ΤΡΑΠΕΖΙΚΗ ΕΓΓΥΗΤΙΚΗ ΕΠΙΣΤΟΛΗ,,Πολιτική Τράπεζας,⚠ Κατώφλι εκκρεμεί (Q-06)
10,M09,ΑΜΟΙΒΗ / ΣΥΜΒΑΤΙΚΕΣ ΤΙΜΕΣ,,ΑΚ 388 (παραίτηση),
11,M09a,Πίνακας οροσήμων & ποσοστών,,—,Κανόνας R-10 — αποκλείει το M09b
12,M09b,Πίνακας ημερήσιων χρεώσεων ανά προφίλ,,—,Κανόνας R-10 — αποκλείει το M09a
13,M09c,Δόση πληρωμής για εξοπλισμό,,—,Κανόνας R-08
14,M09d,Δόση πληρωμής μεταβατικής υποστήριξης,,—,Κανόνας R-07
15,M10,ΟΡΟΙ ΠΛΗΡΩΜΗΣ,,—,"⚠ 60 ημ. σε A/C, 45 σε B (Q-07)"
16,M11,ΥΠΟΧΡΕΩΣΕΙΣ – ΕΥΘΥΝΗ ΑΝΑΔΟΧΟΥ,,—,
17,M11a,Υποχρεώσεις επί των εγκαταστάσεων της Τράπεζας,,ν.3850/2010 (ΥΑΕ),
18,M12,ΕΤΑΙΡΙΚΗ ΚΟΙΝΩΝΙΚΗ ΕΥΘΥΝΗ (ΕΚΕ),,Οδηγία (ΕΕ) 2022/2464 (CSRD),
19,M13,ΔΗΛΩΣΕΙΣ – ΕΓΓΥΗΣΕΙΣ ΑΝΑΔΟΧΟΥ,,—,
20,M14,ΥΠΟΧΡΕΩΣΕΙΣ ΤΗΣ ΤΡΑΠΕΖΑΣ,,—,
21,M15,ΕΥΘΥΝΗ – ΟΡΙΟ ΕΥΘΥΝΗΣ,,"ΑΚ 330, 332",Απεριόριστη για ΔΠΙ & απόρρητο
22,M16,ΑΝΑΣΤΟΛΗ,,—,
23,M17,ΤΡΟΠΟΠΟΙΗΣΕΙΣ ΚΑΤΑ ΤΗΝ ΕΚΤΕΛΕΣΗ,,—,
24,M18,ΕΚΧΩΡΗΣΗ / ΥΠΟΚΑΤΑΣΤΑΣΗ,,—,
25,M18a,Ρήτρα εγκεκριμένων υπεργολάβων,,EBA/GL/2019/02 §13,"⚠ Αν Όχι, η πρόταση ΔΙΑΓΡΑΦΕΤΑΙ — R-04"
26,M18b,Δικαιώματα ελέγχου έναντι υπεργολάβων,⛔ ΝΑΙ,EBA/GL/2019/02 §75,⛔ Αναφαίρετο όταν ενεργοποιείται
27,M19,ΚΙΝΔΥΝΟΙ & ΤΙΤΛΟΙ ΚΥΡΙΟΤΗΤΑΣ,,—,
28,M20,ΕΓΓΥΗΣΗ (warranty),,ΑΚ 534 επ.,
29,M20a,Εγγύηση κατά ιών / κακόβουλου κώδικα,,—,
30,M21,ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ ΚΑΘΥΣΤΕΡΗΣΗΣ,,ΑΚ 404 επ.,"⚠ Αν Όχι, αλλάζει και ο ΤΙΤΛΟΣ του άρθρου στο B (R-14)"
31,M21a,Ρήτρα μη τήρησης διαθεσιμότητας,,—,
32,M21b,Ρήτρα Vulnerability fixes (P = V×N/365),,DORA (ΕΕ) 2022/2554,Απαιτεί Παράρτημα Μέτρων Ασφαλείας
