Α/Α,Module,Τίτλος,A · Σύμβαση Προμήθειας Συστήματος,B · Σύμβαση Προμήθειας Πλατφόρμας,C · Σύμβαση Παροχής Υπηρεσιών,D · Πρόσθετη Πράξη,Συνθήκη ενεργοποίησης,Αναφαίρετο
1,M01,ΠΡΟΟΙΜΙΟ – ΣΥΜΒΑΛΛΟΜΕΝΟΙ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,"— (πάντα, όπου υπάρχει)",
2,M02,ΟΡΙΣΜΟΙ,● υποχρεωτικό,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
3,M03,ΑΝΤΙΚΕΙΜΕΝΟ ΤΗΣ ΣΥΜΒΑΣΗΣ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
4,M03a,Ρήτρα SaaS / cloud στο αντικείμενο,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,delivery_model == 'SaaS σε cloud Αναδόχου',
5,M04,ΔΙΑΡΚΕΙΑ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
6,M05,ΧΡΟΝΟΔΙΑΓΡΑΜΜΑ,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,has_formal_acceptance,
7,M06,ΠΑΡΑΛΑΒΗ (ΠΠΠ / ΠΤΠ),◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,has_formal_acceptance,
8,M07,ΔΙΑΔΙΚΑΣΙΑ & ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ,✕ δεν υπάρχει,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
9,M08,ΤΡΑΠΕΖΙΚΗ ΕΓΓΥΗΤΙΚΗ ΕΠΙΣΤΟΛΗ,◐ υπό όρους,◐ υπό όρους,◐ υπό όρους,◐ υπό όρους,contract_value_over_lg_threshold,
10,M09,ΑΜΟΙΒΗ / ΣΥΜΒΑΤΙΚΕΣ ΤΙΜΕΣ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,◐ υπό όρους,"— (πάντα, όπου υπάρχει)",
11,M09a,Πίνακας οροσήμων & ποσοστών,◐ υπό όρους,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,pricing_model == 'Σταθερό τίμημα',
12,M09b,Πίνακας ημερήσιων χρεώσεων ανά προφίλ,✕ δεν υπάρχει,✕ δεν υπάρχει,◐ υπό όρους,✕ δεν υπάρχει,pricing_model == 'Χρέωση βάσει απασχόλησης με ανώτατο όριο',
13,M09c,Δόση πληρωμής για εξοπλισμό,✕ δεν υπάρχει,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,hardware_included,
14,M09d,Δόση πληρωμής μεταβατικής υποστήριξης,✕ δεν υπάρχει,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,legacy_transition,
15,M10,ΟΡΟΙ ΠΛΗΡΩΜΗΣ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
16,M11,ΥΠΟΧΡΕΩΣΕΙΣ – ΕΥΘΥΝΗ ΑΝΑΔΟΧΟΥ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
17,M11a,Υποχρεώσεις επί των εγκαταστάσεων της Τράπεζας,◐ υπό όρους,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,work_on_bank_premises,
18,M12,ΕΤΑΙΡΙΚΗ ΚΟΙΝΩΝΙΚΗ ΕΥΘΥΝΗ (ΕΚΕ),● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
19,M13,ΔΗΛΩΣΕΙΣ – ΕΓΓΥΗΣΕΙΣ ΑΝΑΔΟΧΟΥ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
20,M14,ΥΠΟΧΡΕΩΣΕΙΣ ΤΗΣ ΤΡΑΠΕΖΑΣ,✕ δεν υπάρχει,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
21,M15,ΕΥΘΥΝΗ – ΟΡΙΟ ΕΥΘΥΝΗΣ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
22,M16,ΑΝΑΣΤΟΛΗ,● υποχρεωτικό,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
23,M17,ΤΡΟΠΟΠΟΙΗΣΕΙΣ ΚΑΤΑ ΤΗΝ ΕΚΤΕΛΕΣΗ,● υποχρεωτικό,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
24,M18,ΕΚΧΩΡΗΣΗ / ΥΠΟΚΑΤΑΣΤΑΣΗ,● υποχρεωτικό,● υποχρεωτικό,● υποχρεωτικό,✕ δεν υπάρχει,"— (πάντα, όπου υπάρχει)",
25,M18a,Ρήτρα εγκεκριμένων υπεργολάβων,◐ υπό όρους,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,has_subcontractors,
26,M18b,Δικαιώματα ελέγχου έναντι υπεργολάβων,◐ υπό όρους,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,has_subcontractors and is_material_outsourcing,⛔
27,M19,ΚΙΝΔΥΝΟΙ & ΤΙΤΛΟΙ ΚΥΡΙΟΤΗΤΑΣ,◐ υπό όρους,✕ δεν υπάρχει,✕ δεν υπάρχει,✕ δεν υπάρχει,delivers_software_licences,
