Α/Α,Ενότητα,Πεδίο (token),Περιγραφή,Τύπος,Υποχρ.,Προεπιλογή,Πηγή δεδομένων,Άρθρο,Κανόνας,Σχόλια / Έλεγχοι
1,Πρόσθετη Πράξη,addendum.number,Αριθμός πρόσθετης πράξης,Κείμενο,Ναι,,Μητρώο συμβάσεων (Q-15),Εξώφυλλο,,π.χ. 3246Α
2,Πρόσθετη Πράξη,addendum.sequence,Α/Α πρόσθετης πράξης,Ακέραιος,Ναι,1,Μητρώο συμβάσεων,Εξώφυλλο,,Αν >1 πρέπει να αναφέρονται οι προηγούμενες
3,Πρόσθετη Πράξη,addendum.signing_date,Ημερομηνία υπογραφής,Ημερομηνία,Ναι,,Ροή έγκρισης,Προοίμιο,,
4,Πρόσθετη Πράξη,addendum.cover_period,Μήνας/Έτος εξωφύλλου,Κείμενο,Ναι,,ΠΑΡΑΓΩΓΟ,Εξώφυλλο,,π.χ. ΙΑΝΟΥΑΡΙΟΣ 2026
5,Πρόσθετη Πράξη,addendum.title_object,Τίτλος (αντικείμενο),Κείμενο,Ναι,,Μητρώο συμβάσεων,Εξώφυλλο,,
6,Πρόσθετη Πράξη,addendum.subtitle,Υπότιτλος (σε παρένθεση),Κείμενο,Όχι,,Μητρώο συμβάσεων,Εξώφυλλο,,π.χ. (AML and Financial Crime Compliance)
7,Αρχική Σύμβαση,original_contract.number,Αριθμός αρχικής σύμβασης,Κείμενο,Ναι,,Μητρώο συμβάσεων (Q-15),"Εξώφυλλο, Προοίμιο",,
8,Αρχική Σύμβαση,original_contract.date,Ημερομηνία αρχικής σύμβασης,Ημερομηνία,Ναι,,Μητρώο συμβάσεων,"Τίτλος, Προοίμιο",,Εμφανίζεται 2 φορές
9,Αρχική Σύμβαση,original_contract.subject,Αντικείμενο αρχικής σύμβασης,Κείμενο,Ναι,,Μητρώο συμβάσεων,Προοίμιο,,
10,Αρχική Σύμβαση,original_contract.previous_addenda[],Προηγούμενες πρόσθετες πράξεις,Λίστα,Υπό όρους,,Μητρώο συμβάσεων,Προοίμιο,,Υποχρεωτικό αν sequence > 1
11,Ανανέωση,renewal.is_renewal,Πρόκειται για ανανέωση,Ναι/Όχι,Ναι,Ναι,Αίτημα ανανέωσης,Προοίμιο,,Το συνηθέστερο σενάριο
12,Ανανέωση,renewal.services_description,Περιγραφή υπηρεσιών,Κείμενο,Υπό όρους,,Αίτημα ανανέωσης,Προοίμιο,,π.χ. «υπηρεσίες τεχνικής υποστήριξης-συντήρησης»
13,Ανανέωση,renewal.period_from,Έναρξη περιόδου ανανέωσης,Ημερομηνία,Υπό όρους,,Αίτημα ανανέωσης,"Προοίμιο, Πράξεις",R-13,Εμφανίζεται 3 φορές
14,Ανανέωση,renewal.period_to,Λήξη περιόδου ανανέωσης,Ημερομηνία,Υπό όρους,,Αίτημα ανανέωσης,"Προοίμιο, Πράξεις",,Εμφανίζεται 3 φορές
15,Ανανέωση,renewal.is_retroactive,Αναδρομική ανανέωση,Ναι/Όχι,—,,ΠΑΡΑΓΩΓΟ,Πράξη διάρκειας,R-13,period_from < signing_date → «αναδρομικά»
16,Ανανέωση,renewal.extension_years,Έτη παράτασης,Ακέραιος,Υπό όρους,,Αίτημα ανανέωσης,Πράξη διάρκειας,R-17,Ολογράφως + αριθμητικά
17,Πράξεις,amendments[].operation,Είδος πράξης,Λίστα: Νέα παράγραφος / Νέο εδάφιο / Τροποποίηση όρου / Αντικατάσταση παραρτήματος / Διαγραφή,Ναι,,Αίτημα,Σώμα,,Καθορίζει τη φράση εισαγωγής
18,Πράξεις,amendments[].target.article_no,Άρθρο-στόχος,Ακέραιος,Ναι,,Αρχική σύμβαση,Σώμα,,ΕΛΕΓΧΟΣ: να υπάρχει στην αρχική σύμβαση
19,Πράξεις,amendments[].target.article_title,Τίτλος άρθρου-στόχου,Κείμενο,Ναι,,Αρχική σύμβαση,Σώμα,,Εμφανίζεται σε ΚΕΦΑΛΑΙΑ σε παρένθεση
20,Πράξεις,amendments[].target.clause_no,Όρος-στόχος,Κείμενο,Υπό όρους,,Αρχική σύμβαση,Σώμα,,π.χ. 5.1
21,Πράξεις,amendments[].new_clause_no,Αριθμός νέου εδαφίου,Κείμενο,Υπό όρους,,Αίτημα,Σώμα,,π.χ. 5.1.1
22,Πράξεις,amendments[].new_text,Νέο κείμενο,Ελεύθερο κείμενο,Υπό όρους,,Νομική,Σώμα,,⚠ Ζώνη 4 — υποχρεωτικός ανθρώπινος έλεγχος
23,Πράξεις,amendments[].new_annex_label,Ετικέτα νέου παραρτήματος,Κείμενο,Υπό όρους,,Αίτημα,Σώμα,,π.χ. Παράρτημα 1/2025
24,Πίνακας Τιμών,amendments[].price_table.columns[],Στήλες (έτη/περίοδοι),Λίστα,Υπό όρους,,Οικονομική Προσφορά,Σώμα,,"π.χ. 2025, 2026"
25,Πίνακας Τιμών,amendments[].price_table.rows[],Γραμμές (περιγραφή + ποσά),Λίστα,Υπό όρους,,Οικονομική Προσφορά,Σώμα,R-18,⛔ ΚΑΘΕ κελί υποχρεωτικό — στο δείγμα UNISYSTEMS 8 κελιά έμειναν «€ΧΧΧ»
26,Πίνακας Τιμών,amendments[].price_table.total,Συνολικό ποσό,Ποσό,Υπό όρους,,Οικονομική Προσφορά,Σώμα,,ΕΛΕΓΧΟΣ: = άθροισμα γραμμών
27,Παραρτήματα,attached_annexes[],Επισυναπτόμενα παραρτήματα,Λίστα,Όχι,,Χειροκίνητο,Σώμα,R-16,
