Α/Α,Κωδικός,Μεταβλητή,Τύπος,Τιμές,Προεπιλογή,Πηγή δεδομένων,Σχόλια
1,is_amendment,Τροποποιείται υφιστάμενη σύμβαση,Ναι/Όχι,,Όχι,Μητρώο συμβάσεων (Q-15),Καθορίζει άμεσα την κατηγορία D
2,delivers_software_licences,Παραδίδονται άδειες χρήσης λογισμικού,Ναι/Όχι,,Όχι,Τεχνική Προσφορά,Βασικός διαφοροποιητής A vs B/C
3,has_formal_acceptance,Τυπική διαδικασία ΠΠΠ / ΠΤΠ,Ναι/Όχι,,Όχι,Διακήρυξη,Βασικός διαφοροποιητής A
4,is_recurring_service,Συνεχής/επαναλαμβανόμενη υπηρεσία (συνδρομή),Ναι/Όχι,,Όχι,Διακήρυξη,Βασικός διαφοροποιητής B
5,delivery_model,Μοντέλο παράδοσης,Λίστα,SaaS σε cloud Αναδόχου / On-premise / Υβριδικό,SaaS σε cloud Αναδόχου,Τεχνική Προσφορά,Επηρεάζει τη ρήτρα cloud
6,processes_personal_data,Επεξεργασία προσωπικών δεδομένων,Ναι/Όχι,,Ναι,DPIA / ερωτηματολόγιο GDPR,⛔ Κανονιστικά δεσμευτικό
7,transfers_outside_eea,Διαβίβαση δεδομένων εκτός ΕΟΖ,Ναι/Όχι,,Όχι,DPA,Απαιτεί μηχανισμό διαβίβασης
8,is_material_outsourcing,Ουσιώδης εξωτερική ανάθεση,Ναι/Όχι,,Όχι,Outsourcing register (Q-18),⛔ Ενεργοποιεί κανονιστικά αναφαίρετα άρθρα
9,is_cloud_outsourcing,Ανάθεση σε υποδομές cloud,Ναι/Όχι,,Όχι,Τεχνική Προσφορά,EBA cloud guidelines
10,vendor_accesses_bank_systems,Πρόσβαση σε συστήματα/δίκτυο Τράπεζας,Ναι/Όχι,,Όχι,Security assessment,Ενεργοποιεί πρότυπα ασφάλειας
11,has_sla,Υπάρχουν συμφωνημένα SLA,Ναι/Όχι,,Ναι,Διακήρυξη / Τεχνική Προσφορά,Χωρίς SLA δεν υπάρχουν ποινικές ρήτρες
12,has_availability_sla,SLA διαθεσιμότητας (uptime),Ναι/Όχι,,Όχι,SLA Παράρτημα,Υποσύνολο του has_sla
13,has_subcontractors,Χρήση εγκεκριμένων υπεργολάβων,Ναι/Όχι,,Όχι,Αξιολόγηση προσφοράς,"⚠ Αν Όχι, η ρήτρα ΔΙΑΓΡΑΦΕΤΑΙ (όχι κενή)"
14,escrow_required,Απαιτείται escrow πηγαίου κώδικα,Ναι/Όχι,,Όχι,Τεχνική Προσφορά,Απαιτεί κατασκευάστρια εταιρεία
15,contract_value_over_lg_threshold,Αξία άνω του κατωφλίου εγγυητικής,Ναι/Όχι,,Ναι,Οικονομική Προσφορά (Q-06),⚠ Το κατώφλι εκκρεμεί
16,pricing_model,Μοντέλο τιμολόγησης,Λίστα,Σταθερό τίμημα / Χρέωση βάσει απασχόλησης με ανώτατο όριο,Σταθερό τίμημα,Οικονομική Προσφορά,Αμοιβαία αποκλειόμενα blocks
17,hardware_included,Περιλαμβάνεται προμήθεια εξοπλισμού,Ναι/Όχι,,Όχι,Οικονομική Προσφορά,Προσθέτει δόση πληρωμής
18,legacy_transition,Μεταβατική υποστήριξη υφιστάμενου συστήματος,Ναι/Όχι,,Όχι,Τεχνική Προσφορά,Προσθέτει SLA + δόση
19,work_on_bank_premises,Παροχή στις εγκαταστάσεις της Τράπεζας,Ναι/Όχι,,Ναι,Αίτημα,Επηρεάζει υποχρεώσεις υγιεινής/ασφάλειας
20,vendor_is_foreign,Αλλοδαπός προμηθευτής,Ναι/Όχι,,Όχι,Vendor master,Δίγλωσση παραγωγή (Q-13)
