Α/Α,Ενότητα,Πεδίο (token),Περιγραφή,Τύπος,Υποχρ.,Προεπιλογή,Πηγή δεδομένων,Άρθρο,Κανόνας,Σχόλια / Έλεγχοι
1,Αντικείμενο,system.name,Ονομασία Συστήματος,Κείμενο,Ναι,,Τεχνική Προσφορά,"Εξώφυλλο, Άρθρο 2",,
2,Αντικείμενο,system.delivery_model,Μοντέλο παράδοσης,Λίστα: SaaS σε cloud Αναδόχου / On-premise / Υβριδικό,Ναι,SaaS,Τεχνική Προσφορά,Άρθρο 2,R-02,SaaS → εμφανίζεται η ρήτρα cloud
3,Αντικείμενο,system.software_manufacturer,Κατασκευάστρια εταιρεία Λογισμικού,Κείμενο,Υπό όρους,,Τεχνική Προσφορά,"Άρθρα 13, 19",R-05,Υποχρεωτικό αν escrow.applies = Ναι
4,Αντικείμενο,system.includes_training,Περιλαμβάνει εκπαίδευση,Ναι/Όχι,Όχι,Ναι,Τεχνική Προσφορά,Ορισμοί,,
5,Αντικείμενο,system.includes_migration,Περιλαμβάνει μετάπτωση δεδομένων,Ναι/Όχι,Όχι,Όχι,Τεχνική Προσφορά,Ορισμοί (ΠΠΠ),,
6,Διάρκεια,term.start_date,Έναρξη ισχύος,Ημερομηνία,Ναι,,Απόφαση ανάθεσης,Άρθρο 7,R-13,Αν < signing_date → «αναδρομικά»
7,Παραλαβή,acceptance.warranty_period_months,Περίοδος Εγγύησης (μήνες),Ακέραιος,Ναι,6,Διακήρυξη,Ορισμοί,,
8,Παραλαβή,acceptance.post_warranty_period_years,Μετά την Εγγύηση Περίοδος (έτη),Ακέραιος,Ναι,5,Διακήρυξη,"Ορισμοί, Άρθρο 7",,
9,Παραλαβή,acceptance.final_acceptance_lag_months,Μήνες από ΠΠΠ έως ΠΤΠ,Ακέραιος,Ναι,6,Διακήρυξη,Ορισμοί,,
10,Οικονομικά,commercials.total_price,Συνολικό τίμημα (χωρίς ΦΠΑ),Ποσό,Ναι,,Οικονομική Προσφορά,"Άρθρα 11, 12",R-17,Το ολογράφως παράγεται αυτόματα
11,Οικονομικά,commercials.payment_terms_days,Προθεσμία πληρωμής (ημέρες),Ακέραιος,Ναι,60,Πολιτική Τράπεζας,Άρθρο 12,R-09,"⚠ Q-07: 60 εδώ, 45 στην Κατηγορία B"
12,Οικονομικά,commercials.implementation_milestones[],"Ορόσημα (α/α, περιγραφή, %, ποσό)",Λίστα,Ναι,,Χρονοδιάγραμμα + Οικ. Προσφορά,Άρθρο 12 (πίνακας),,ΕΛΕΓΧΟΣ: άθροισμα % = 100
13,Οικονομικά,commercials.annual_license_fee,Ετήσια αμοιβή χρήσης & υποστήριξης,Ποσό,Όχι,,Οικονομική Προσφορά,Άρθρο 12,,
14,Εγγυήσεις,guarantee.required,Απαιτείται Εγγυητική Επιστολή,Ναι/Όχι,Ναι,Ναι,Πολιτική (Q-06),Άρθρο 6,R-06,
15,Εγγυήσεις,guarantee.amount,Ποσό εγγυητικής,Ποσό,Υπό όρους,,ΠΑΡΑΓΩΓΟ: 10% τιμήματος,Άρθρο 6,R-06,Υποχρεωτικό αν required = Ναι
16,Εγγυήσεις,guarantee.validity_end,Λήξη ισχύος εγγυητικής,Ημερομηνία,Υπό όρους,,ΠΑΡΑΓΩΓΟ,Άρθρο 6,R-06,
17,Εγγυήσεις,guarantee.replacement.amount,Ποσό εγγυητικής αντικατάστασης,Ποσό,Όχι,,Πολιτική,Άρθρο 6,,Πριν τη λήξη του 1ου έτους Μετά την Εγγύηση
18,Ποινικές ρήτρες,penalties.delay_pct_per_month,% ανά μήνα καθυστέρησης,Ποσοστό,Ναι,5,Πολιτική (Q-08),Άρθρο 16,,
19,Ποινικές ρήτρες,penalties.availability.target_pct,Στόχος διαθεσιμότητας,Ποσοστό,Υπό όρους,,SLA Παράρτημα,Άρθρο 16,R-14,
20,Ποινικές ρήτρες,penalties.availability.penalty_pct_per_0_1_deviation,"% ανά απόκλιση 0,1%",Ποσοστό,Υπό όρους,1,SLA,Άρθρο 16,R-14,
21,Ποινικές ρήτρες,penalties.severity_rates[],Ρήτρες ανά σοβαρότητα (Critical/Major/Minor),Λίστα,Όχι,"0,5 / 0,4 / 0,3 %",SLA,Άρθρο 16,,
22,Ποινικές ρήτρες,penalties.vulnerability.cvss_threshold,Κατώφλι CVSS,Δεκαδικός,Όχι,7,Security assessment,Άρθρο 16,,Τύπος: P = V × N / 365
23,Ποινικές ρήτρες,penalties.cap_pct,Ανώτατο όριο ρητρών,Ποσοστό,Ναι,50,Πολιτική,Άρθρο 16,,
24,Ευθύνη,liability.cap_pct_light_negligence,Όριο ευθύνης — ελαφρά αμέλεια,Ποσοστό,Ναι,100,Νομική (Q-09),Άρθρο 8,,Απεριόριστη για ΔΠΙ & απόρρητο
25,Υπεργολαβία,subcontracting.approved_subcontractors[],Εγκεκριμένοι υπεργολάβοι,Λίστα,Όχι,(κενό),Αξιολόγηση προσφοράς,Άρθρο 13,R-04,"⚠ Αν κενό, η σχετική πρόταση ΔΙΑΓΡΑΦΕΤΑΙ"
26,ΔΠΙ,intellectual_property.license_type,Τύπος άδειας χρήσης,Λίστα: Διηνεκής μη αποκλειστική / Συνδρομητική,Ναι,Διηνεκής,Σύμβαση κατασκευαστή,Άρθρο 19,,
27,ΔΠΙ,intellectual_property.escrow.applies,Ισχύει escrow πηγαίου κώδικα,Ναι/Όχι,Ναι,Όχι,Τεχνική Προσφορά,Άρθρο 19,R-05,Αν Όχι → η παράγραφος παραλείπεται
28,ΔΠΙ,intellectual_property.escrow.agent,Θεματοφύλακας,Κείμενο,Υπό όρους,,Τεχνική Προσφορά,Άρθρο 19,R-05,
29,ΔΠΙ,intellectual_property.escrow.consent_deadline_days,Προθεσμία συναίνεσης (ημέρες),Ακέραιος,Όχι,15,Σταθερό,Άρθρο 19,,
30,GDPR,data_protection.processes_personal_data,Επεξεργασία προσωπικών δεδομένων,Ναι/Όχι,Ναι,Ναι,DPIA / ερωτηματολόγιο,Άρθρο 20,R-03,⚠ Αν Όχι → όλο το άρθρο & το Παράρτημα GDPR ΑΦΑΙΡΟΥΝΤΑΙ
31,GDPR,data_protection.data_subject_categories[],Κατηγορίες υποκειμένων,Λίστα,Υπό όρους,,DPA,Παράρτημα GDPR,R-03,
32,GDPR,data_protection.data_categories[],Κατηγορίες δεδομένων,Λίστα,Υπό όρους,,DPA,Παράρτημα GDPR,R-03,
33,GDPR,data_protection.transfers_outside_eea,Διαβίβαση εκτός ΕΟΖ,Ναι/Όχι,Ναι,Όχι,DPA,Άρθρο 20,R-11,Αν Ναι → απαιτείται μηχανισμός + χώρες
34,GDPR,data_protection.transfer_mechanism,Μηχανισμός διαβίβασης,Λίστα: SCC / Απόφαση επάρκειας / BCR / Παρέκκλιση αρ.49,Υπό όρους,,DPA,Άρθρο 20,R-11,
35,Αναστολή,suspension.notice_months,Προειδοποίηση αναστολής (μήνες),Ακέραιος,Όχι,3,Σταθερό,Άρθρο 9,,
36,Καταγγελία,termination.convenience_notice_months,Προειδοποίηση καταγγελίας (μήνες),Ακέραιος,Όχι,3,Σταθερό,Άρθρο 17,,
37,Καταγγελία,termination.transition_support_months,Υποστήριξη μετάβασης (μήνες),Ακέραιος,Όχι,6,Σταθερό,Άρθρο 17,,Ρήτρες BRRD πάντοτε παρούσες
