Α/Α,Ενότητα,Πεδίο (token),Περιγραφή,Τύπος,Υποχρ.,Προεπιλογή,Πηγή δεδομένων,Άρθρο,Κανόνας,Σχόλια / Έλεγχοι
1,Σύμβαση,contract.number,Αριθμός σύμβασης,Κείμενο,Ναι,,Σύστημα Προμηθειών,Εξώφυλλο,,Μοναδικός· έλεγχος διπλοεγγραφής
2,Σύμβαση,contract.title,Τίτλος Έργου,Κείμενο,Ναι,,Διακήρυξη / Αίτημα,"Εξώφυλλο, Άρθρο Αντικειμένου",,Εμφανίζεται 2–3 φορές
3,Σύμβαση,contract.signing_date,Ημερομηνία υπογραφής,Ημερομηνία,Ναι,,Ροή έγκρισης,Προοίμιο,,ISO· μορφοποίηση ΗΗ/ΜΜ/ΕΕΕΕ
4,Σύμβαση,contract.signing_place,Τόπος υπογραφής,Κείμενο,Ναι,Αθήνα,Σταθερό,Προοίμιο,,
5,Σύμβαση,contract.cover_period,Μήνας/Έτος εξωφύλλου,Κείμενο,Ναι,,ΠΑΡΑΓΩΓΟ,Εξώφυλλο,R-17,Παράγεται από signing_date
6,Τράπεζα,bank.legal_name,Επωνυμία ΕΤΕ,Σταθερά,—,ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.,Κεντρική παραμετροποίηση,Προοίμιο,,Δεν συμπληρώνεται από χρήστη
7,Τράπεζα,bank.vat_number,ΑΦΜ ΕΤΕ,Σταθερά,—,094014201,Κεντρική παραμετροποίηση,Προοίμιο,,
8,Τράπεζα,bank.tax_office,ΔΟΥ ΕΤΕ,Σταθερά,—,ΦΑΕ ΑΘΗΝΩΝ,Κεντρική παραμετροποίηση,Προοίμιο,,
9,Τράπεζα,bank.gemi,ΓΕΜΗ ΕΤΕ,Σταθερά,—,000237901000,Κεντρική παραμετροποίηση,Προοίμιο,,
10,Τράπεζα,bank.notices_address,Διεύθυνση κοινοποιήσεων ΕΤΕ,Σταθερά,—,"Γαργηττού 86 & Πόρου, Γέρακας, Τ.Κ. 153-44",Κεντρική παραμετροποίηση,Ειδοποιήσεις,,
11,Τράπεζα,bank.signatories[],Υπογράφοντες ΕΤΕ (όνομα + ιδιότητα),Λίστα 1–3,Ναι,,Πίνακας εξουσιοδοτήσεων (Q-10),"Προοίμιο, Υπογραφές",R-01,Το πλήθος καθορίζει τη διάταξη του πίνακα υπογραφών
12,Ανάδοχος,vendor.legal_name,Πλήρης επωνυμία,Κείμενο,Ναι,,ΓΕΜΗ / Vendor master (Q-14),"Εξώφυλλο, Προοίμιο",,
13,Ανάδοχος,vendor.trade_name,Διακριτικός τίτλος,Κείμενο,Όχι,,ΓΕΜΗ,Προοίμιο,,
14,Ανάδοχος,vendor.legal_form,Νομική μορφή,Λίστα: ΑΕ / Μονοπρόσωπη ΑΕ / ΕΠΕ / ΙΚΕ / ΟΕ / ΕΕ / Αλλοδαπή,Ναι,ΑΕ,ΓΕΜΗ,Προοίμιο,,Καθορίζει τη διατύπωση («Της Ανώνυμης Εταιρείας…»)
15,Ανάδοχος,vendor.vat_number,ΑΦΜ,Κείμενο (9 ψηφία),Ναι,,Vendor master,Προοίμιο,,ΕΛΕΓΧΟΣ: ακριβώς 9 ψηφία
16,Ανάδοχος,vendor.tax_office,ΔΟΥ,Κείμενο,Ναι,,Vendor master,Προοίμιο,,
17,Ανάδοχος,vendor.gemi,Αριθμός ΓΕΜΗ,Κείμενο,Ναι,,ΓΕΜΗ,Προοίμιο,,ΕΛΕΓΧΟΣ: 9–14 ψηφία
18,Ανάδοχος,vendor.gemi_registration_code,ΚΑΚ ΓΕΜΗ πρακτικού,Κείμενο,Ναι,,ΓΕΜΗ,Προοίμιο,,
19,Ανάδοχος,vendor.address.city,Πόλη έδρας,Κείμενο,Ναι,,ΓΕΜΗ,Προοίμιο,,
20,Ανάδοχος,vendor.address.street,Οδός,Κείμενο,Ναι,,ΓΕΜΗ,Προοίμιο,,
21,Ανάδοχος,vendor.address.number,Αριθμός,Κείμενο,Ναι,,ΓΕΜΗ,Προοίμιο,,
22,Ανάδοχος,vendor.address.postcode,Τ.Κ.,Κείμενο,Ναι,,ΓΕΜΗ,Ειδοποιήσεις,,ΕΛΕΓΧΟΣ: μορφή ΧΧΧ ΧΧ
23,Ανάδοχος,vendor.notices_address,Διεύθυνση κοινοποιήσεων,Κείμενο,Ναι,,ΠΑΡΑΓΩΓΟ (address),Ειδοποιήσεις,,"Αν κενό, χρησιμοποιείται η έδρα"
24,Ανάδοχος,vendor.signatories[],Νόμιμοι εκπρόσωποι (όνομα + ιδιότητα),Λίστα 1–3,Ναι,,Πρακτικό Δ.Σ.,"Προοίμιο, Υπογραφές",R-01,
25,Ανάδοχος,vendor.board_resolution_date,Ημερομηνία πρακτικού Δ.Σ.,Ημερομηνία,Ναι,,Πρακτικό Δ.Σ.,Προοίμιο,,
26,Ανάδοχος,vendor.process_agent.name,Αντίκλητος — ονοματεπώνυμο,Κείμενο,Ναι,,⚠ ΔΕΝ ΥΠΑΡΧΕΙ ΣΤΗ ΡΟΗ (Q-11),Ειδοποιήσεις,,Πρέπει να προστεθεί στη διαδικασία προμήθειας
27,Ανάδοχος,vendor.process_agent.address,Αντίκλητος — διεύθυνση,Κείμενο,Ναι,,⚠ ΔΕΝ ΥΠΑΡΧΕΙ ΣΤΗ ΡΟΗ (Q-11),Ειδοποιήσεις,,
28,Ανάδοχος,vendor.is_foreign,Αλλοδαπός προμηθευτής,Ναι/Όχι,Όχι,Όχι,Vendor master,Προοίμιο,,true → δίγλωσση παραγωγή (Q-13)
29,Παραρτήματα,annexes[],"Λίστα παραρτημάτων (αρ., τίτλος, πηγή)",Λίστα,Ναι,,ΠΑΡΑΓΩΓΟ + χειροκίνητο,Φύλλο Παραρτημάτων,R-16,Πηγή: GENERATED / PASS_THROUGH / UPLOADED
30,Έλεγχος,_meta.open_items[],Ασυμπλήρωτα πεδία,Λίστα,—,,ΠΑΡΑΓΩΓΟ,—,R-18,"⛔ Αν μη κενό, ΑΠΑΓΟΡΕΥΕΤΑΙ η εξαγωγή τελικού εγγράφου"
