Α/Α,Ενότητα,Πεδίο (token),Περιγραφή,Τύπος,Υποχρ.,Προεπιλογή,Πηγή δεδομένων,Άρθρο,Κανόνας,Σχόλια / Έλεγχοι
1,Αντικείμενο,solution.name,Ονομασία Λύσης,Κείμενο,Ναι,,Τεχνική Προσφορά,"Εξώφυλλο, Άρθρο 1",,
2,Αντικείμενο,solution.business_purpose,Επιχειρησιακός σκοπός,Ελεύθερο κείμενο,Ναι,,Αίτημα χρήστη,Άρθρο 1,,⚠ Ζώνη 4 — απαιτεί ανθρώπινο έλεγχο
3,Αντικείμενο,solution.delivery_model,Μοντέλο παροχής,Λίστα: SaaS / Managed service / Υβριδικό,Ναι,SaaS,Τεχνική Προσφορά,Άρθρο 1,,
4,Αντικείμενο,solution.included_services[],Περιλαμβανόμενες υπηρεσίες,Πολλαπλή επιλογή,Ναι,"Υλοποίηση, Παραμετροποίηση, Εγκατάσταση, Εκπαίδευση, Υποστήριξη",Τεχνική Προσφορά,Άρθρο 1,,
5,Διάρκεια,term.start_date,Έναρξη ισχύος,Ημερομηνία,Ναι,,Απόφαση ανάθεσης,Άρθρο 2,R-13,
6,Διάρκεια,term.subscription_years,Περίοδος χρήσης (έτη),Ακέραιος,Ναι,3,Διακήρυξη,Άρθρο 2,,
7,Διάρκεια,term.subscription_start_basis,Βάση έναρξης περιόδου χρήσης,Λίστα: Go-live / Head start date / Όποιο νωρίτερα,Ναι,,Σύμβαση κατασκευαστή,"Άρθρα 2, 4",,Επηρεάζει και τον χρόνο πληρωμής
8,Διάρκεια,term.head_start_lag_months,Μήνες έως head start date,Ακέραιος,Υπό όρους,4,Σύμβαση κατασκευαστή,Άρθρο 2,,Υποχρεωτικό αν η βάση το απαιτεί
9,Παραλαβή,acceptance.window_working_days,Προθεσμία παραλαβής (εργάσιμες),Ακέραιος,Όχι,30,Πολιτική,Άρθρο 3,,Άπρακτη παρέλευση = οριστική παραλαβή
10,Οικονομικά,commercials.total_price,Συνολική αμοιβή (χωρίς ΦΠΑ),Ποσό,Ναι,,Οικονομική Προσφορά,Άρθρο 4,R-17,
11,Οικονομικά,commercials.payment_terms_days,Προθεσμία πληρωμής (ημέρες),Ακέραιος,Ναι,45,Πολιτική,Άρθρο 4,R-09,"⚠ Q-07: 45 εδώ, 60 σε A/C"
12,Οικονομικά,commercials.annual_subscription_fee,Ετήσιο κόστος συνδρομής,Ποσό,Όχι,,Οικονομική Προσφορά,Άρθρο 4,,
13,Οικονομικά,commercials.tranches[],"Δόσεις (είδος, %, ποσό, γεγονός)",Λίστα,Ναι,,Οικονομική Προσφορά,Άρθρο 4,,Γεγονότα: SOW / UAT / Go-live / Παράδοση / Επέτειος
14,Οικονομικά,commercials.price_table,Πίνακας τιμών,Πίνακας,Ναι,,Οικονομική Προσφορά (Q-02),Άρθρο 4,,⚠ Δομή εκκρεμεί έως τη λήψη του Παραρτήματος
15,Οικονομικά,commercials.hardware.included,Περιλαμβάνεται εξοπλισμός,Ναι/Όχι,Ναι,Όχι,Οικονομική Προσφορά,Άρθρο 4,R-08,Αν Ναι → εμφανίζεται δόση εξοπλισμού
16,Οικονομικά,commercials.hardware.amount,Ποσό εξοπλισμού,Ποσό,Υπό όρους,,Οικονομική Προσφορά,Άρθρο 4,R-08,
17,Μετάβαση,transition.legacy_support,Μεταβατική υποστήριξη υφιστάμενου,Ναι/Όχι,Ναι,Όχι,Τεχνική Προσφορά,"Άρθρα 3, 4",R-07,Αν Όχι → η ενότητα παραλείπεται
18,Μετάβαση,transition.legacy_system_name,Ονομασία υφιστάμενου συστήματος,Κείμενο,Υπό όρους,,Τεχνική Προσφορά,Άρθρο 3,R-07,
