Α/Α,Κωδικός,Τύπος,Συνθήκη,Ενέργεια,Σοβαρότητα,Νομική / κανονιστική βάση
1,G01,Επιλογή προτύπου,is_amendment = Ναι,Επιβάλλεται η Κατηγορία D. Τα modules των A/B/C δεν εφαρμόζονται.,ΜΠΛΟΚ,—
2,G02,Επιλογή προτύπου,delivers_software_licences = Ναι ΚΑΙ has_formal_acceptance = Ναι,Επιβάλλεται η Κατηγορία A.,ΠΡΟΕΙΔΟΠΟΙΗΣΗ,—
3,G03,Επιλογή προτύπου,is_recurring_service = Ναι ΚΑΙ has_formal_acceptance = Όχι,Επιβάλλεται η Κατηγορία B.,ΠΡΟΕΙΔΟΠΟΙΗΣΗ,—
4,G04,Κανονιστικό,processes_personal_data = Ναι,Τα M26 / M26a / M26b είναι ΑΝΑΦΑΙΡΕΤΑ. Απαιτείται Παράρτημα GDPR.,ΜΠΛΟΚ,ΓΚΠΔ αρ.28 παρ.3
5,G05,Ασυμβατότητα,processes_personal_data = Ναι ΚΑΙ κατηγορία = C,"Το πρότυπο C δεν περιέχει άρθρο GDPR. Απαιτείται αλλαγή προτύπου ή προσθήκη του M26 από το πρότυπο B, κατόπιν νομικού ελέγχου.",ΜΠΛΟΚ,ΓΚΠΔ αρ.28 παρ.3
6,G06,Πληρότητα,transfers_outside_eea = Ναι ΚΑΙ transfer_mechanism κενό,Δεν επιτρέπεται εξαγωγή. Απαιτείται μηχανισμός (SCC / απόφαση επάρκειας / BCR) και κατάλογος χωρών.,ΜΠΛΟΚ,ΓΚΠΔ αρ.44-49
7,G07,Κανονιστικό,is_material_outsourcing = Ναι,Τα M28 / M22a / M22b είναι ΑΝΑΦΑΙΡΕΤΑ και δεν απενεργοποιούνται από τον χρήστη.,ΜΠΛΟΚ,ν.4261/2014 αρ.57 · ν.4335/2015 · EBA/GL/2019/02
8,G08,Κανονιστικό,is_cloud_outsourcing = Ναι,Ενεργοποιούνται υποχρεωτικά τα M27 και M28a (τοποθεσία δεδομένων & δικαιώματα πρόσβασης).,ΜΠΛΟΚ,EBA/REC/2017/03
9,G09,Πληρότητα,escrow_required = Ναι ΚΑΙ software_manufacturer κενό,Δεν επιτρέπεται εξαγωγή. Το M24b απαιτεί την κατασκευάστρια εταιρεία.,ΜΠΛΟΚ,—
10,G10,Καθαρότητα,has_subcontractors = Όχι,Η πρόταση εγκεκριμένων υπεργολάβων ΔΙΑΓΡΑΦΕΤΑΙ εξ ολοκλήρου — δεν παραμένει με ονόματα τρίτων.,ΜΠΛΟΚ,Τεκμηριωμένο ελάττωμα σημερινών προτύπων
11,G11,Αμοιβαίος αποκλεισμός,pricing_model = Χρέωση βάσει απασχόλησης,Το M09a απενεργοποιείται και το M09b ενεργοποιείται. Ποτέ και τα δύο μαζί.,ΜΠΛΟΚ,—
12,G12,Συνέπεια τίτλου,has_sla = Όχι ΚΑΙ κατηγορία = B,Ο τίτλος του άρθρου γίνεται «ΔΙΑΔΙΚΑΣΙΑ ΚΑΙ ΤΡΟΠΟΣ ΠΑΡΟΧΗΣ ΤΩΝ ΥΠΗΡΕΣΙΩΝ» (αφαιρείται το «- ΠΟΙΝΙΚΕΣ ΡΗΤΡΕΣ»).,ΠΡΟΕΙΔΟΠΟΙΗΣΗ,Παρατηρήθηκε στο υπογεγραμμένο MOVEO
13,G13,Πληρότητα,contract_value_over_lg_threshold = Ναι ΚΑΙ ποσό/λήξη εγγυητικής κενά,Δεν επιτρέπεται εξαγωγή.,ΜΠΛΟΚ,Πολιτική Τράπεζας (Q-06)
14,G14,Πληρότητα,Ενεργό module παραπέμπει σε παράρτημα που δεν υπάρχει στη λίστα,Δεν επιτρέπεται εξαγωγή. Καταγράφεται open_item ανά παράρτημα που λείπει.,ΜΠΛΟΚ,Κανόνας R-16
15,G15,Ακεραιότητα,Μετά την επιλογή modules,Επαναρίθμηση άρθρων ΚΑΙ ενημέρωση όλων των εσωτερικών παραπομπών. Ορφανή παραπομπή = μπλοκάρισμα.,ΜΠΛΟΚ,Κανόνας R-15 — τεκμηριωμένο ελάττωμα (διπλό «Άρθρο 23»)
16,G16,Πληρότητα,Οποιοδήποτε πεδίο ενεργού module χωρίς τιμή,Δεν επιτρέπεται εξαγωγή τελικού εγγράφου.,ΜΠΛΟΚ,Κανόνας R-18 — τεκμηριωμένο ελάττωμα («€ΧΧΧ» σε υπογεγραμμένο)
17,G17,Αριθμητικός έλεγχος,Άθροισμα ποσοστών οροσήμων ≠ 100%,Δεν επιτρέπεται εξαγωγή.,ΜΠΛΟΚ,—
18,G18,Αριθμητικός έλεγχος,Σύνολο πίνακα τιμών ≠ άθροισμα γραμμών,Δεν επιτρέπεται εξαγωγή.,ΜΠΛΟΚ,—
19,G19,Γλώσσα,vendor_is_foreign = Ναι,Ενεργοποιείται το M32a και απαιτείται δίγλωσση παραγωγή.,ΠΡΟΕΙΔΟΠΟΙΗΣΗ,Q-13
20,G20,Νομικός έλεγχος,Οποιοδήποτε πεδίο Ζώνης 4 (ελεύθερο κείμενο),Το έγγραφο δεν οριστικοποιείται χωρίς ανθρώπινη έγκριση.,ΠΡΟΕΙΔΟΠΟΙΗΣΗ,—
